AHOL,ANTSOL,APLCAL,ATHE,BARNAC,BFRE,BRANCH,BROWN,BRYO,BUSHY,CAGG,CENCOR,COMTUN,CPUN,CRAGIG,CRUCOR,CYPSPA,CYSOSM,CYSOSMAD,DICTYOTALES,DIOCHA,EISARBAD,EJAC,EMOR,ENCRED,ERECOR,GNIG,HROS,HRUB,HSEM,KELKEL,KGB,LACY,LAMFAR,LAMSPP,LOPCHI,LYTANAAD,MACPYR_HF,MACPYRAD,MCAL,MEGCRE,MEGSPP,MEGUND,OCAL,OPIC,OYT,PACFIM,PANINT,PARPAR,PATMIN,PCLA,PISGIG,PTECALAD,RVAC,SATR,SJAP,SMYS,SPONGE,SPUL,SSAG,STRFRAAD,STRPURAD,TETAUR,TSYM,TUBEWORM,TURF
56,25,25,36,16,36,16,16,16,16,36,45,16,36,25,16,45,16,45,16,36,25,36,36,16,16,36,56,36,36,45,36,16,25,25,25,45,16,25,36,25,25,25,36,56,36,45,25,25,25,36,25,25,36,36,36,36,16,36,36,45,45,25,36,16,16
61,34,34,35,21,35,21,21,21,21,35,60,21,35,34,21,60,21,60,21,47,34,35,35,21,21,35,61,35,35,60,35,21,34,34,34,60,21,34,35,34,34,34,35,61,35,60,34,34,34,35,34,34,35,35,35,35,21,35,35,60,60,34,35,21,21
48,26,26,27,18,27,18,18,18,18,27,47,18,27,26,18,47,18,47,18,39,26,27,27,18,18,27,48,27,27,47,27,18,26,26,26,47,18,26,27,26,26,26,27,48,27,47,26,26,26,27,26,26,27,27,27,27,18,27,27,47,47,26,27,18,18
58,31,31,28,17,28,17,17,17,17,28,61,17,28,31,17,61,17,61,17,47,31,28,28,17,17,28,58,28,28,61,28,17,31,31,31,61,17,31,28,31,31,31,28,58,28,61,31,31,31,28,31,31,28,28,28,28,17,28,28,61,61,31,28,17,17
56,29,29,36,21,36,21,21,21,21,36,49,21,36,29,21,49,21,49,21,41,29,36,36,21,21,36,56,36,36,49,36,21,29,29,29,49,21,29,36,29,29,29,36,56,36,49,29,29,29,36,29,29,36,36,36,36,21,36,36,49,49,29,36,21,21
58,25,25,39,21,39,21,21,21,21,39,44,21,39,25,21,44,21,44,21,40,25,39,39,21,21,39,58,39,39,44,39,21,25,25,25,44,21,25,39,25,25,25,39,58,39,44,25,25,25,39,25,25,39,39,39,39,21,39,39,44,44,25,39,21,21
46,28,28,32,11,32,11,11,11,11,32,42,11,32,28,11,42,11,42,11,25,28,32,32,11,11,32,46,32,32,42,32,11,28,28,28,42,11,28,32,28,28,28,32,46,32,42,28,28,28,32,28,28,32,32,32,32,11,32,32,42,42,28,32,11,11
43,24,24,26,12,26,12,12,12,12,26,41,12,26,24,12,41,12,41,12,29,24,26,26,12,12,26,43,26,26,41,26,12,24,24,24,41,12,24,26,24,24,24,26,43,26,41,24,24,24,26,24,24,26,26,26,26,12,26,26,41,41,24,26,12,12
59,23,23,42,13,42,13,13,13,13,42,40,13,42,23,13,40,13,40,13,30,23,42,42,13,13,42,59,42,42,40,42,13,23,23,23,40,13,23,42,23,23,23,42,59,42,40,23,23,23,42,23,23,42,42,42,42,13,42,42,40,40,23,42,13,13
57,21,21,39,17,39,17,17,17,17,39,39,17,39,21,17,39,17,39,17,35,21,39,39,17,17,39,57,39,39,39,39,17,21,21,21,39,17,21,39,21,21,21,39,57,39,39,21,21,21,39,21,21,39,39,39,39,17,39,39,39,39,21,39,17,17
50,24,24,30,18,30,18,18,18,18,30,44,18,30,24,18,44,18,44,18,38,24,30,30,18,18,30,50,30,30,44,30,18,24,24,24,44,18,24,30,24,24,24,30,50,30,44,24,24,24,30,24,24,30,30,30,30,18,30,30,44,44,24,30,18,18
48,24,24,27,18,27,18,18,18,18,27,45,18,27,24,18,45,18,45,18,39,24,27,27,18,18,27,48,27,27,45,27,18,24,24,24,45,18,24,27,24,24,24,27,48,27,45,24,24,24,27,24,24,27,27,27,27,18,27,27,45,45,24,27,18,18
23,30,30,23,17,23,17,17,17,17,23,30,17,23,30,17,30,17,30,17,17,30,23,23,17,17,23,23,23,23,30,23,17,30,30,30,30,17,30,23,30,30,30,23,23,23,30,30,30,30,23,30,30,23,23,23,23,17,23,23,30,30,30,23,17,17
26,29,29,26,18,26,18,18,18,18,26,29,18,26,29,18,29,18,29,18,18,29,26,26,18,18,26,26,26,26,29,26,18,29,29,29,29,18,29,26,29,29,29,26,26,26,29,29,29,29,26,29,29,26,26,26,26,18,26,26,29,29,29,26,18,18
39,26,26,39,20,39,20,20,20,20,39,26,20,39,26,20,26,20,26,20,20,26,39,39,20,20,39,39,39,39,26,39,20,26,26,26,26,20,26,39,26,26,26,39,39,39,26,26,26,26,39,26,26,39,39,39,39,20,39,39,26,26,26,39,20,20
29,34,34,29,19,29,19,19,19,19,29,34,19,29,34,19,34,19,34,19,19,34,29,29,19,19,29,29,29,29,34,29,19,34,34,34,34,19,34,29,34,34,34,29,29,29,34,34,34,34,29,34,34,29,29,29,29,19,29,29,34,34,34,29,19,19
25,25,25,25,23,25,23,23,23,23,25,25,23,25,25,23,25,23,25,23,23,25,25,25,23,23,25,25,25,25,25,25,23,25,25,25,25,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,23,25,25,25,25,25,25,23,23
25,28,28,25,19,25,19,19,19,19,25,28,19,25,28,19,28,19,28,19,19,28,25,25,19,19,25,25,25,25,28,25,19,28,28,28,28,19,28,25,28,28,28,25,25,25,28,28,28,28,25,28,28,25,25,25,25,19,25,25,28,28,28,25,19,19
45,23,23,25,12,25,12,12,12,12,25,43,12,25,23,12,43,12,43,12,32,23,25,25,12,12,25,45,25,25,43,25,12,23,23,23,43,12,23,25,23,23,23,25,45,25,43,23,23,23,25,23,23,25,25,25,25,12,25,25,43,43,23,25,12,12
46,30,30,33,22,33,22,22,22,22,33,43,22,33,30,22,43,22,43,22,35,30,33,33,22,22,33,46,33,33,43,33,22,30,30,30,43,22,30,33,30,30,30,33,46,33,43,30,30,30,33,30,30,33,33,33,33,22,33,33,43,43,30,33,22,22
47,20,20,36,22,36,22,22,22,22,36,31,22,36,20,22,31,22,31,22,33,20,36,36,22,22,36,47,36,36,31,36,22,20,20,20,31,22,20,36,20,20,20,36,47,36,31,20,20,20,36,20,20,36,36,36,36,22,36,36,31,31,20,36,22,22
