"tree_ID";"year";"dbh_cm";"BAI_growth";"density_plot";"pollen_index";"cone_count";"resources_NPP_castanea"
321;2004;25.4647908947033;26.3870937899207;1200;0;25;9303.02115740006
321;2005;25.9422557239789;19.2776424820059;1200;0;28;8635.52656385484
321;2006;26.5152135191098;23.6058611593897;1200;NA;NA;6683.52856735477
327;1999;16.6635225417214;NA;1200;NA;NA;11100.604440865
327;2000;17.3478887970166;18.2811335945717;1200;NA;NA;10321.4103340847
327;2001;17.9367620864566;16.3191510336063;1200;NA;NA;8037.38700632925
327;2002;18.4460579043507;14.5531279963229;1200;0;0;10959.3040593674
327;2003;18.7484522962253;8.83369617263691;1200;1;0;5294.92189099617
327;2004;19.1940861368826;13.2798884515877;1200;1;0;8448.95207422051
327;2005;19.5760580003031;11.6310432411557;1200;0;0;7876.1495696957
327;2006;19.8625368978685;8.87368385208856;1200;NA;NA;6968.5910874913
332;1999;24.3347907987508;NA;250;NA;NA;13982.6357843407
332;2000;25.0032415597368;25.9024669882061;250;NA;NA;14093.8484632712
332;2001;25.6239458377952;24.6807538562968;250;NA;NA;11203.4782307539
332;2002;26.0536641841433;17.4411933824043;250;2;69;15409.4019736174
332;2003;26.7380304394384;28.375535860175;250;3;31;7668.69855171777
332;2004;27.5338051548979;33.9198972464604;250;3;130;17076.5972254098
332;2005;28.2022559158839;29.2614320621602;250;1;160;13148.4391285397
332;2006;28.7433827223963;24.2018964212691;250;NA;NA;11426.058181448
335;1999;15.2311280538944;NA;1200;NA;NA;10964.0939607995
335;2000;15.8040858490252;13.9658462563138;1200;NA;NA;10172.1340495543
335;2001;16.3133816669193;12.8469870063778;1200;NA;NA;7882.55167447006
335;2002;16.6953535303398;9.90262055917773;1200;2;0;10781.4964112762
335;2003;17.0614098994512;9.7050694860649;1200;2;0;5263.03144143045
335;2004;17.4752127514901;11.2244023615559;1200;1;0;8356.9398204253
335;2005;17.889015603529;11.4933742153813;1200;1;0;7791.70317998842
335;2006;18.1118325238577;6.30014842229258;1200;NA;NA;6973.39759021778
354;1999;22.3294385157929;NA;1200;NA;NA;12159.4923661827
354;2000;23.2047907027983;31.3047825877815;1200;NA;NA;11665.8414641723
354;2001;23.9369034410211;27.1064741326962;1200;NA;NA;9637.14674255162
354;2002;24.4939457418427;21.1884965175029;1200;0;26;12735.2843976436
354;2003;24.9554950768092;17.9254222967613;1200;0;4;5341.2863359515
354;2004;25.6239458377952;26.5542064801673;1200;0;46;9397.60796964368
354;2005;25.9104247353606;11.5952333789601;1200;0;0;8714.23140514957
354;2006;26.2605656101627;14.3470223450188;1200;NA;NA;6630.50624694843
355;1999;26.7539459337476;NA;250;NA;NA;15151.1422876649
355;2000;27.629298120753;37.3884802874693;250;NA;NA;15237.7896065538
355;2001;28.4091573419033;34.3235539708769;250;NA;NA;12068.7238557439
355;2002;28.9980306313433;26.5508244376265;250;2;78;16537.5080827461
355;2003;29.8256363354212;38.2353835283971;250;0;22;8019.34109878088
355;2004;30.7169040167358;42.3797782465099;250;0;25;18275.5302260522
355;2005;31.3853547777218;32.6036858670903;250;0;130;14408.0562130214
355;2006;32.0856365273261;34.9090452177763;250;NA;NA;12575.7486842068
363;1999;19.480565034448;NA;1200;NA;NA;11871.471263946
363;2000;20.2285932669799;23.3291305020889;1200;NA;NA;11236.285190346
363;2001;21.0084524881302;25.257690525005;1200;NA;NA;9118.96374883736
363;2002;21.4540863287875;14.8618885859211;1200;2;8;12155.6708316635
363;2003;21.8997201694448;15.1738322743814;1200;0;0;5358.64800260346
363;2004;22.4408469759572;18.8447410367958;1200;0;7;9076.06380383648
363;2005;22.9819737824697;19.3046988223315;1200;0;11;8432.39531780511
363;2006;23.3639456458902;13.9037758285079;1200;NA;NA;6796.4065775083
367;1999;26.3083120930903;NA;250;NA;NA;12786.5493411363
367;2000;27.2791572459509;40.860445371019;250;NA;NA;12892.0950394977
367;2001;28.1545094329563;38.1106458417486;250;NA;NA;10272.8817922518
367;2002;28.886622171179;32.7986506723779;250;0;78;14189.3031065805
367;2003;29.730143369566;38.8336071707433;250;3;2;7194.95225001776
367;2004;30.4622561077888;34.6106296994792;250;3;40;15806.0579846561
367;2005;31.1307068687747;32.3363055626959;250;3;45;11860.1428796815
367;2006;31.8309886183791;34.6289325179347;250;NA;NA;10326.8786585579
372;1999;24.9873260654276;NA;250;NA;NA;12665.6697376905
372;2000;26.1014106670708;44.7026446409361;250;NA;NA;12771.8345173498
372;2001;27.0563403256222;39.8683132445198;250;NA;NA;10180.985691377
372;2002;27.7407065809174;29.4534127122648;250;4;1;14066.0104572534
372;2003;29.0298616199617;57.4802003033903;250;4;2;7145.2064768298
372;2004;30.5577490736439;71.5051328323268;250;4;3;15677.3240129801
372;2005;31.5126787321953;46.5528208543793;250;4;8;11737.557886977
372;2006;32.499439379365;49.6093915364592;250;NA;NA;10222.7492651654
373;1999;21.3904243515507;NA;1200;NA;NA;12354.9412016073
373;2000;22.0747906068459;23.3625530401382;1200;NA;NA;12010.6736850674
373;2001;22.6159174133583;18.9935509085868;1200;NA;NA;9887.41360544388
373;2002;23.0297202653973;14.8348322455955;1200;0;36;13035.6629725217
373;2003;23.3002836686535;9.84512583598581;1200;0;4;5311.37115703944
373;2004;24.0005654182578;26.0154669978012;1200;0;18;9554.82908083034
373;2005;24.2552133272048;9.65115574909248;1200;0;9;8857.74826671135
373;2006;24.6371851906254;14.6677195553492;1200;NA;NA;6522.03225757361
389;1999;20.8652130393475;NA;1200;NA;NA;12354.9412016073
389;2000;21.3585933629324;16.3617249808834;1200;NA;NA;12010.6736850674
389;2001;21.8042272035897;15.1069871982826;1200;NA;NA;9887.41360544388
389;2002;22.170283572701;12.6426718481835;1200;2;0;13035.6629725217
389;2003;22.4408469759572;9.47986524158989;1200;4;0;5311.37115703944
389;2004;22.8546498279962;14.721036461285;1200;4;0;9554.82908083034
389;2005;23.1411287255616;10.3490501745504;1200;4;0;8857.74826671135
389;2006;23.3639456458902;8.13838801500407;1200;NA;NA;6522.03225757361
392;1999;18.2073254897128;NA;1200;NA;NA;11902.1567024409
392;2000;18.8439452620804;18.5256353758966;1200;NA;NA;11274.4140297568
392;2001;19.4646495401388;18.675439966082;1200;NA;NA;9170.68371690354
392;2002;19.8943678864869;13.2836683814862;1200;0;8;12211.5660323853
392;2003;20.2445087612891;11.0381910781385;1200;0;3;5353.94437285796
392;2004;20.7538045791832;16.3993253361888;1200;0;23;9107.72313986806
392;2005;21.1039454539853;11.5108812591213;1200;0;5;8457.80530911101
392;2006;21.3904243515507;9.56123320624567;1200;NA;NA;6781.10191427811
396;1999;13.5440856571203;NA;1200;NA;NA;8224.70033677993
396;2000;14.1488744408695;13.1541560465452;1200;NA;NA;7535.54644954686
396;2001;14.7854942132371;14.4671843270533;1200;NA;NA;5622.52669312843
396;2002;15.1833815709668;9.3652736825637;1200;2;1;7903.27981699379
396;2003;15.533522445769;8.44714860460238;1200;1;2;4290.02062728584
396;2004;15.9154943091895;9.43470502648756;1200;2;6;6600.1249208421
396;2005;16.3929591384652;12.1156700428706;1200;1;4;6127.84978158176
396;2006;16.6794380360306;7.44128936426151;1200;NA;NA;6437.31594433056
397;1999;24.7645091450989;NA;250;NA;NA;12539.2629031498
397;2000;25.862678252433;43.6659491303712;250;NA;NA;12647.0984727954
397;2001;26.785776922366;38.1701300017295;250;NA;NA;10085.0281420023
397;2002;27.6452136150622;36.7409186127639;250;0;7;13937.03137362
397;2003;29.1253545858168;65.9957855335218;250;0;3;7090.73751520528
397;2004;30.6850730281174;73.2677738270695;250;0;9;15540.5510458375
397;2005;32.0219745500893;65.8423999571173;250;0;30;11600.0228788857
397;2006;33.3270450834429;66.9827451243702;250;NA;NA;10115.3672733528
400;1999;15.6130999173149;NA;1200;NA;NA;10431.6220370389
400;2000;16.3133816669193;17.5595648713289;1200;NA;NA;9622.67105173076
400;2001;16.8704239677409;14.5179149651638;1200;NA;NA;7360.97233068383
400;2002;17.3638042913258;13.2657634503884;1200;0;0;10156.3146830709
400;2003;17.7298606604371;10.0894286736318;1200;3;0;5131.11025497665
400;2004;18.3983114214231;18.9672903429767;1200;3;0;7989.56723610897
400;2005;18.7166213076069;9.2787331822575;1200;3;0;7459.7493922085
400;2006;19.0031002051723;8.48693734037533;1200;NA;NA;6944.00338943537
403;1999;20.4673256816177;NA;1200;NA;NA;11994.1920791643
403;2000;21.1676074312221;22.899213212062;1200;NA;NA;11394.1052933688
403;2001;21.7405652263529;19.3086776959088;1200;NA;NA;9342.79513418515
403;2002;22.3294385157929;20.3823767307424;1200;0;0;12403.6045600352
403;2003;22.6318329076675;10.6783019630719;1200;0;0;5351.07606121224
403;2004;23.17295971418;19.4670368642851;1200;0;0;9206.41132198035
403;2005;23.5549315776005;14.0183673875342;1200;0;0;8550.59953752588
403;2006;23.8732414637843;11.8570432603464;1200;NA;NA;6731.3166196217
408;1999;13.3849307140284;NA;1200;NA;NA;9805.42368349856
408;2000;13.7987335660673;8.83469089103116;1200;NA;NA;9009.0526927653
408;2001;14.1647899351787;8.03951300660822;1200;NA;NA;6810.92029479457
408;2002;14.5467617985992;8.61346552013336;1200;2;0;9479.09333803779
408;2003;14.8332406961646;6.61050056132189;1200;3;0;4928.63168093123
408;2004;15.1515505823484;7.49619781962832;1200;2;0;7583.53487197101
408;2005;15.3425365140587;4.57411306446102;1200;3;0;7076.72345784019
408;2006;15.4061984912955;1.53743675026774;1200;NA;NA;6855.48071413028
410;1999;26.3083120930903;NA;250;NA;NA;13670.884785768
410;2000;27.3587347174968;44.2753136187343;250;NA;NA;13779.7346820967
410;2001;28.0590164671012;30.479763151529;250;NA;NA;10960.700630305
410;2002;28.7752137110147;31.9692544751902;250;2;3;15093.0283862202
410;2003;29.3800024947639;27.6237276977447;250;4;12;7540.04207946282
410;2004;30.2394391874601;40.2431231355012;250;4;7;16746.0174273043
410;2005;31.0033829143012;36.7456932610567;250;3;8;12807.7032616817
410;2006;31.4490167549585;21.858339884241;250;NA;NA;11120.4904240918
411;1999;20.0057763466512;NA;1200;NA;NA;11769.309438624
411;2000;20.9447905108934;30.2010430574392;1200;NA;NA;11111.5613096145
411;2001;21.5973257775702;21.8028345978377;1200;NA;NA;8955.35286298804
411;2002;22.1066215954643;17.4815789492138;1200;2;1;11979.7960148914
411;2003;22.6636638962859;19.5869999026406;1200;0;0;5360.75114062465
411;2004;23.17295971418;18.3346494441863;1200;0;4;8985.24948988796
411;2005;23.6504245434556;17.5587690966135;1200;0;0;8351.04136387589
411;2006;24.0323964068762;14.3048462850994;1200;NA;NA;6842.88936719494
413;1999;26.5629600020373;NA;250;NA;NA;15355.0039930903
413;2000;27.3587347174968;33.7010591997087;250;NA;NA;15438.2428712761
413;2001;28.0112699841736;28.377127409606;250;NA;NA;12202.3859389715
413;2002;28.7274672280871;31.9155396818966;250;2;26;16718.9269348857
413;2003;29.3163405175271;26.8452610823467;250;2;24;8034.36610167046
413;2004;29.9211293012763;28.1377981639316;250;2;81;18493.0338171683
413;2005;30.4304251191704;24.1406217681787;250;1;44;14627.8531576422
413;2006;30.8760589598277;21.4572694276493;250;NA;NA;12783.4527874221
417;1999;20.8652130393475;NA;250;NA;NA;11213.2515136484
417;2000;21.6132412718794;24.9560919078457;250;NA;NA;11313.6398633537
417;2001;22.0111286296091;13.6326155942151;250;NA;NA;9075.89925719528
417;2002;22.5522554361216;18.9394382279355;250;2;6;12549.7034056672
417;2003;23.0138047710881;16.5176968251136;250;0;1;6475.4242709824
417;2004;23.6185935548373;22.1503892048144;250;0;13;14053.8005363652
417;2005;24.096058384113;17.8929944771063;250;0;3;10222.773818438
417;2006;24.6371851906254;20.7116285192639;250;NA;NA;8999.14412230118
426;1999;14.944649156329;NA;1200;NA;NA;10401.9825306677
426;2000;15.5812689286966;15.2629590425128;1200;NA;NA;9592.75551231824
426;2001;16.0428182636631;11.4637316072304;1200;NA;NA;7333.69641779736
426;2002;16.4247901270836;9.74028251722399;1200;0;1;10123.1219703884
426;2003;16.711269024649;7.45561330913978;1200;1;0;5125.56889522321
426;2004;17.0932408880696;10.1413529738156;1200;2;0;7970.85497603358
426;2005;17.4433817628717;9.49757122900891;1200;1;2;7441.89949311794
426;2006;17.6661986832004;6.14417657806266;1200;NA;NA;6942.16933538915
435;1999;23.76183300362;NA;250;NA;NA;12624.1713221379
435;2000;24.5576077190794;30.199650451687;250;NA;NA;12730.4636948933
435;2001;25.2101429857562;25.5059722362284;250;NA;NA;10149.5062317301
435;2002;25.7990162751962;23.5917361581907;250;4;28;14023.7037778739
435;2003;26.6107064849649;33.4111982596025;250;4;2;7128.07679713355
435;2004;27.5338051548979;39.2547709389007;250;4;33;15632.5003243146
435;2005;28.5205658020676;43.4421374916483;250;4;50;11695.3851144003
