AHOL,ANTSOL,APLCAL,ATHE,BARNAC,BFRE,BRANCH,BROWN,BRYO,BUSHY,CAGG,CENCOR,COMTUN,CPUN,CRAGIG,CRUCOR,CYPSPA,CYSOSM,CYSOSMAD,DICTYOTALES,DIOCHA,EISARBAD,EJAC,EMOR,ENCRED,ERECOR,GNIG,HROS,HRUB,HSEM,KELKEL,KGB,LACY,LAMFAR,LAMSPP,LOPCHI,LYTANAAD,MACPYR_HF,MACPYRAD,MCAL,MEGCRE,MEGSPP,MEGUND,OCAL,OPIC,OYT,PACFIM,PANINT,PARPAR,PATMIN,PCLA,PISGIG,PTECALAD,RVAC,SATR,SJAP,SMYS,SPONGE,SPUL,SSAG,STRFRAAD,STRPURAD,TETAUR,TSYM,TUBEWORM,TURF
15,0,1,0,1,0,6,1,0,1,0,60,0,71,1,65,0,0,0,0,1,0,1,0,0,0,0,0,2,2,1,0,3,0,0,5,0,0,0,0,4,0,12,15,1,0,6,0,51,0,2,4,0,0,0,0,0,0,1,0,277,1650,0,0,6,0
2,0,1,0,2,0,0,0,0,11,0,67,1,128,2,43,0,0,0,0,10,0,4,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,19,0,0,7,27,1,0,8,21,67,3,24,1,0,0,0,0,0,0,6,0,342,741,1,0,8,3
2,175,10,45,0,9,3,0,5,9,0,4,1,13,1,47,0,0,14,5,0,2,63,0,4,5,1,4,7,3,0,0,10,20,0,0,0,3,53,3,0,0,111,81,0,0,2,9,9,0,11,2,0,15,0,0,0,8,6,0,111,1372,0,0,7,3
10,2,2,0,0,0,1,0,5,4,0,52,7,100,8,40,0,1,15,1,1,1,1,0,0,0,10,0,8,2,1,0,11,0,0,1,0,0,1,1,3,0,50,101,0,0,1,0,70,1,14,2,0,0,0,0,0,2,7,0,797,2563,0,0,16,0
1,2,13,0,3,0,11,0,0,7,0,30,1,224,3,38,7,0,0,0,0,0,5,350,2,0,19,0,43,11,3,0,8,0,0,0,0,0,0,2,2,0,57,0,7,0,1,3,40,2,13,1,0,0,0,0,0,1,1,400,288,3042,1,0,21,6
1,0,15,0,1,0,1,0,6,2,0,6,0,204,7,51,1,0,0,0,9,0,17,0,1,0,4,0,11,9,0,0,4,0,0,2,1,0,0,0,0,0,10,28,1,0,15,2,64,20,25,5,0,0,0,0,0,3,2,800,284,2371,0,0,2,0
1,6,0,0,0,56,15,0,5,1,0,1,2,23,9,4,2,0,33,0,0,80,14,0,1,14,43,3,7,5,0,4,2,446,0,0,0,2,204,10,1,0,1,7,0,0,0,20,39,0,11,11,0,1,1,0,0,0,4,0,223,73,1,0,1,1
3,2,0,0,1,47,3,0,14,1,0,11,8,134,8,4,1,3,263,1,7,20,12,0,0,9,12,1,2,12,2,7,2,334,0,3,0,3,44,11,6,0,6,48,0,0,11,1,140,0,26,4,3,14,3,0,1,0,4,0,235,34,4,0,0,0
3,22,0,0,0,7,16,0,8,8,0,1,2,22,17,3,8,1,9,2,0,210,4,0,1,12,13,0,5,4,1,0,2,251,0,0,0,0,100,6,4,0,7,36,2,0,0,1,32,0,4,5,0,0,0,0,0,0,11,0,369,215,0,0,0,2
4,0,0,0,0,19,6,0,16,0,0,2,6,462,26,3,1,0,76,10,1,66,9,0,1,6,2,1,1,3,10,0,1,150,0,2,0,0,39,6,2,0,12,27,1,0,0,0,105,3,7,5,1,4,0,0,0,2,10,0,131,50,5,0,0,2
5,124,0,184,0,16,4,0,11,0,0,0,10,94,7,6,6,2,86,2,0,72,7,0,2,10,5,6,2,6,0,5,0,243,0,0,0,1,139,8,18,0,24,20,2,0,0,7,133,0,5,3,0,2,0,0,0,0,3,0,562,98,2,0,4,0
5,7,4,127,0,9,4,0,11,0,0,0,1,160,0,10,0,4,214,0,0,9,5,0,2,7,8,2,1,6,0,6,0,250,0,0,0,2,147,8,15,0,58,60,1,1,2,1,88,0,13,0,0,2,0,0,0,1,3,0,207,35,0,0,1,0
0,1,19,0,7,0,2,0,1,1,0,92,2,246,2,23,0,0,0,2,0,0,0,0,0,0,14,5,9,42,2,5,0,0,0,19,0,0,40,0,0,0,36,159,0,0,2,0,74,35,51,4,0,0,0,0,0,0,11,0,243,1560,1,0,2,0
11,0,12,82,10,2,0,0,1,0,0,82,0,188,0,17,0,0,0,1,8,0,1,0,1,0,0,0,2,20,0,1,0,0,0,8,0,0,34,0,2,0,10,281,1,0,13,0,62,15,22,1,0,0,1,0,0,0,2,0,488,848,0,0,1,0
